fid,nom_festival,domaine,complement_domaine,mois_habituel,site_web,latitude,longitude,com_code,com_name,dep_name,dep_code
"1",Festival de photo de la gacilly,Arts plastiques et visuels,Photographie,juin,https://www.festivalphoto-lagacilly.com/,"47.76221","-2.129312","56061",La Gacilly,Morbihan,"56"
"2",Sevenadur,Musiques actuelles,Musiques traditionnelles et du monde,février,www.sevenadur.org,"48.127015","-1.687268","35238",Rennes,Ille-et-Vilaine,"35"
"3",Festival roue waroch,Musiques actuelles,Musiques traditionnelles et du monde,février,www.roue-waroch.fr,"47.715075","-2.801684","56158",Plescop,Morbihan,"56"
"4",Le grand soufflet,Musiques actuelles,Musiques traditionnelles et du monde,octobre,www.legrandsoufflet.fr,"48.114817","-1.676786","35238",Rennes,Ille-et-Vilaine,"35"
"5",Kann al loar,Musiques actuelles,Musiques traditionnelles et du monde,juillet,www.kann-al-loar.bzh,"48.450271","-4.245723","29103",Landerneau,Finistère,"29"
"6",Festival fisel,Musiques actuelles,Musiques traditionnelles et du monde,août,www.fisel.org,"48.236366","-3.313218","22266",Rostrenen,Côtes-d'Armor,"22"
"7",Noborder,Musiques actuelles,Musiques traditionnelles et du monde,décembre,www.festivalnoborder.com,"48.388666","-4.484266","29019",Brest,Finistère,"29"
"8",Festival interceltique de lorient,Musiques actuelles,Musiques traditionnelles et du monde,août,www.festival-interceltique.bzh,"47.74789","-3.368387","56121",Lorient,Morbihan,"56"
"9",Festival du bout du monde,Musiques actuelles,Musiques traditionnelles et du monde,août,www.festivalduboutdumonde.com,"48.239808","-4.494995","29042",Crozon,Finistère,"29"
"10",Fête du chant traditionnel,Musiques actuelles,Musiques traditionnelles et du monde,avril,www.epille.com,"47.950947","-1.977081","35035",Bovel,Ille-et-Vilaine,"35"
"11",Festival yaouank,Musiques actuelles,Musiques traditionnelles et du monde,novembre,http://yaouank.bzh/,"48.129193","-1.685149","35238",Rennes,Ille-et-Vilaine,"35"
"12",Rencontres internationales de harpe celtique,Musiques actuelles,Musiques traditionnelles et du monde,juillet,http://www.harpe-celtique.fr/,"48.452774","-2.043074","22050",Dinan,Côtes-d'Armor,"22"
"13",Festival des filets bleus,Musiques actuelles,Musiques traditionnelles et du monde,août,http://www.festivaldesfiletsbleus.fr/,"47.883433","-3.918981","29039",Concarneau,Finistère,"29"
"14",Festival de cornouaille,Musiques actuelles,Musiques traditionnelles et du monde,juillet,http://www.festival-cornouaille.bzh/fr/,"47.999055","-4.101945","29232",Quimper,Finistère,"29"
"15",Festival du schmoul,Musiques actuelles,Musiques amplifiées ou électroniques,janvier,www.schmoulbrouk.com,"43.224707","5.765937","35012",Bain-de-Bretagne,Ille-et-Vilaine,"35"
"16",No logo bzh,Musiques actuelles,Musiques amplifiées ou électroniques,août,www.nologobzh.com,"48.5694"," -1.9255","35306",Saint-Père-Marc-en-Poulet,Ille-et-Vilaine,"35"
"17",Les rencontres trans musicales de rennes,Musiques actuelles,Musiques amplifiées ou électroniques,décembre,www.lestrans.com,"48.10866","-1.682384","35238",Rennes,Ille-et-Vilaine,"35"
"18",Festival legend'air,Musiques actuelles,Musiques amplifiées ou électroniques,novembre,www.legendair.fr,"48.58589","-4.31583","29124",Lesneven,Finistère,"29"
"19",Panoramas,Musiques actuelles,Musiques amplifiées ou électroniques,Septembre,www.festivalpanoramas.com,"48.58647","-3.786802","29059",Garlan,Finistère,"29"
"20",Feu au lac,Musiques actuelles,Musiques amplifiées ou électroniques,juin,www.festival-lefeuaulac.fr,"48.04426","-1.600036","35352",Vern-sur-Seiche,Ille-et-Vilaine,"35"
"21",Festival invisible,Musiques actuelles,Musiques amplifiées ou électroniques,novembre,www.festivalinvisible.com,"48.384597","-4.481927","29019",Brest,Finistère,"29"
"22",Insolent collection automne,Musiques actuelles,Musiques amplifiées ou électroniques,octobre,www.festival-insolent.com,"47.777387","-3.346691","56098",Lanester,Morbihan,"56"
"23",Festival des arts sonnés,Musiques actuelles,Musiques amplifiées ou électroniques,mars,www.festival-des-arts-sonnes.fr,"48.381763","-1.985106","22056",Évran,Côtes-d'Armor,"22"
"24",Don jigi fest,Musiques actuelles,Musiques amplifiées ou électroniques,mai,www.donjigifest.org,"48.122651","-1.213647","35360",Vitré,Ille-et-Vilaine,"35"
"25",Carnavalorock,Musiques actuelles,Musiques amplifiées ou électroniques,octobre,www.carnavalorock.com,"48.50526","-2.763374","22278",Saint-Brieuc,Côtes-d'Armor,"22"
